# es|pos|gender|en|def_es|example_es|topic|latam_alt
aprovechar|v||to make the most of / take advantage of|Sacar provecho o utilidad de algo.|Aprovecha el buen tiempo para ir a la playa.|vida diaria|
quedarse|v||to stay / to remain|Permanecer en un lugar.|Hoy me quedo en casa, estoy cansado.|vida diaria|
darse cuenta|expr||to realise|Notar o comprender algo de repente.|Me di cuenta de que había perdido las llaves.|vida diaria|
echar de menos|expr||to miss (someone or something)|Sentir la falta de alguien o algo.|Echo de menos a mi familia.|emociones|extrañar
merecer la pena|expr||to be worth it|Valer el esfuerzo que cuesta.|El viaje es largo, pero merece la pena.|vida diaria|valer la pena
tener ganas de|expr||to feel like / to look forward to|Desear hacer algo.|Tengo ganas de verte.|emociones|
hacer falta|expr||to be necessary / to need|Ser necesario.|No hace falta que vengas.|vida diaria|
ponerse|v||to become / to put on (clothes)|Cambiar de estado de ánimo; vestirse con algo.|Se puso nervioso antes del examen.|emociones|
volverse|v||to become (lasting change)|Cambiar de manera profunda o duradera.|Se ha vuelto muy tranquilo con los años.|carácter|
lograr|v||to achieve / to manage to|Conseguir lo que se intenta.|Por fin logré terminar el proyecto.|trabajo|
agobiado|adj||overwhelmed / stressed|Que se siente con demasiada presión o preocupación.|Estoy agobiado con tanto trabajo.|emociones|
agobiar|v||to overwhelm|Causar mucha presión o cansancio.|Me agobian las multitudes.|emociones|
disfrutar|v||to enjoy|Sentir placer con algo.|Disfruta de tus vacaciones.|tiempo libre|
soportar|v||to put up with / to stand|Tolerar algo desagradable.|No soporto el ruido de la obra.|emociones|
aguantar|v||to put up with / to hold on|Resistir o tolerar algo difícil.|Aguanta un poco más, ya casi llegamos.|emociones|
molestar|v||to bother|Causar incomodidad o enfado.|¿Te molesta si abro la ventana?|relaciones|
enfadarse|v||to get angry|Sentir o mostrar enojo.|No te enfades, era una broma.|emociones|enojarse
enfadado|adj||angry|Que siente enojo.|Mi hermana está enfadada conmigo.|emociones|enojado
ilusión|n|f|excitement / hope|Esperanza alegre de que pase algo bueno.|Me hace mucha ilusión este viaje.|emociones|
hacer ilusión|expr||to be excited about|Producir alegría y esperanza.|Me hace ilusión conocer a tus padres.|emociones|
orgulloso|adj||proud|Que siente satisfacción por algo propio o de otros.|Estoy orgulloso de ti.|emociones|
avergonzado|adj||embarrassed / ashamed|Que siente vergüenza.|Me sentí avergonzado por el error.|emociones|
vergüenza|n|f|embarrassment / shame|Sentimiento de incomodidad por algo que se ha hecho.|Me da vergüenza hablar en público.|emociones|
dar vergüenza|expr||to be embarrassed|Causar incomodidad por timidez o culpa.|Me da vergüenza cantar.|emociones|
tímido|adj||shy|Que se siente inseguro al relacionarse con otros.|De pequeño era muy tímido.|carácter|
cariñoso|adj||affectionate|Que muestra amor y ternura.|Mi perra es muy cariñosa.|carácter|
maleducado|adj||rude|Que no tiene buenos modales.|No seas maleducado y saluda.|carácter|
simpático|adj||nice / friendly|Agradable en el trato con los demás.|El camarero es muy simpático.|carácter|
antipático|adj||unfriendly / unpleasant|Que resulta desagradable en el trato.|El vecino es un poco antipático.|carácter|
testarudo|adj||stubborn|Que mantiene su opinión aunque no tenga razón.|Eres más testarudo que una mula.|carácter|terco
vago|adj||lazy|Que no quiere trabajar o esforzarse.|Hoy estoy vago, no quiero cocinar.|carácter|flojo
despistado|adj||absent-minded / scatterbrained|Que se distrae y olvida las cosas.|Soy tan despistado que perdí el móvil otra vez.|carácter|distraído
agradable|adj||pleasant|Que produce una sensación buena.|Hace una tarde muy agradable.|vida diaria|
cansado|adj||tired|Que tiene falta de energía.|Estoy cansado después del viaje.|vida diaria|
agotado|adj||exhausted / sold out|Muy cansado; que ya no queda.|Las entradas están agotadas.|vida diaria|
harto|adj||fed up|Cansado de algo que se repite.|Estoy harto de la lluvia.|emociones|
preocupado|adj||worried|Que siente inquietud por algo.|Está preocupado por su madre.|emociones|
tranquilo|adj||calm / quiet|Sin nervios ni ruido.|Es un barrio muy tranquilo.|emociones|
relajado|adj||relaxed|Sin tensión.|Después del masaje me siento relajado.|emociones|
nervioso|adj||nervous|Inquieto o intranquilo.|Me pongo nervioso cuando hablo por teléfono.|emociones|
asustado|adj||scared|Que tiene miedo.|El gato está asustado por los petardos.|emociones|
sorprendido|adj||surprised|Que siente sorpresa.|Me quedé sorprendido con la noticia.|emociones|
decepcionado|adj||disappointed|Que siente que algo no fue como esperaba.|Estoy un poco decepcionado con la película.|emociones|
celoso|adj||jealous|Que siente celos.|Mi perro se pone celoso del gato.|emociones|
envidia|n|f|envy|Deseo de tener lo que tiene otro.|Me das envidia con esas vacaciones.|emociones|
alivio|n|m|relief|Sensación de descanso tras una preocupación.|¡Qué alivio! Ya ha llegado.|emociones|
esfuerzo|n|m|effort|Uso de fuerza o energía para conseguir algo.|Con esfuerzo, todo se consigue.|trabajo|
éxito|n|m|success|Resultado bueno de algo.|La fiesta fue un éxito.|trabajo|
fracaso|n|m|failure|Resultado malo de algo que se intenta.|El plan fue un fracaso total.|trabajo|
reto|n|m|challenge|Algo difícil que se intenta superar.|Hablar español cada día es un reto.|trabajo|desafío
meta|n|f|goal|Fin al que se dirigen las acciones.|Mi meta es hablar sin miedo.|trabajo|
propósito|n|m|purpose / resolution|Intención de hacer algo.|Mi propósito de año nuevo es leer más.|vida diaria|
costumbre|n|f|habit / custom|Forma de actuar que se repite.|Tengo la costumbre de pasear por la mañana.|vida diaria|
rutina|n|f|routine|Hábito de hacer las cosas siempre igual.|Necesito cambiar mi rutina.|vida diaria|
madrugar|v||to get up early|Levantarse muy temprano.|Mañana tengo que madrugar.|vida diaria|
trasnochar|v||to stay up late|Acostarse muy tarde.|No me gusta trasnochar entre semana.|vida diaria|desvelarse
siesta|n|f|nap|Descanso corto después de comer.|Los domingos siempre echo la siesta.|vida diaria|
echar una siesta|expr||to take a nap|Dormir un rato después de comer.|Voy a echar una siesta de veinte minutos.|vida diaria|
recado|n|m|errand / message|Tarea pequeña fuera de casa; mensaje.|Tengo que hacer unos recados.|vida diaria|mandado
tarea|n|f|task / homework|Trabajo que hay que hacer.|Las tareas de casa me aburren.|vida diaria|
quehacer|n|m|chore|Tarea u ocupación.|Tengo mil quehaceres hoy.|vida diaria|
